initial_cash,final_equity,total_return_pct,benchmark_equal_weight_return_pct,alpha_vs_equal_weight_pct,max_drawdown_pct,sharpe_ratio,trades,avg_holding_days,win_rate_pct,profit_factor,total_fees,guardrail_triggered,holding_days,stop_loss_pct,take_profit_pct,max_position_fraction,cooldown_days,max_drawdown_stop_pct,score,stop_loss_exits,take_profit_exits,time_exits
200.0,367.7565394253845,83.87826971269226,376.42567583995987,-292.5474061272676,-23.254253221724362,0.7181934887516405,61.0,120.0,60.65573770491803,2.5280819965299655,41.516388,False,120,0.0,0.0,0.2,0,0.0,75.17217037904881,0,0,61
200.0,367.7565394253845,83.87826971269226,376.42567583995987,-292.5474061272676,-23.254253221724362,0.7181934887516405,61.0,120.0,60.65573770491803,2.5280819965299655,41.516388,False,120,0.0,0.0,0.2,0,0.3,75.17217037904881,0,0,61
200.0,334.5418025099411,67.27090125497055,376.84321135438984,-309.57231009941927,-18.191985234408016,0.7743454901573237,65.0,120.0,61.53846153846154,2.6095239779126236,33.281086,False,120,0.0,0.0,0.15,0,0.0,63.060477918727656,0,0,65
200.0,334.5418025099411,67.27090125497055,376.84321135438984,-309.57231009941927,-18.191985234408016,0.7743454901573237,65.0,120.0,61.53846153846154,2.6095239779126236,33.281086,False,120,0.0,0.0,0.15,0,0.2,63.060477918727656,0,0,65
200.0,334.5418025099411,67.27090125497055,376.84321135438984,-309.57231009941927,-18.191985234408016,0.7743454901573237,65.0,120.0,61.53846153846154,2.6095239779126236,33.281086,False,120,0.0,0.0,0.15,0,0.3,63.060477918727656,0,0,65
200.0,338.48991544092564,69.24495772046282,436.690582605636,-367.4456248851732,-20.143744132228814,0.8991974336088779,64.0,92.1875,68.75,2.342676629070758,43.599666,False,120,0.0,0.2,0.2,0,0.0,61.750549466645,0,30,34
200.0,338.48991544092564,69.24495772046282,436.690582605636,-367.4456248851732,-20.143744132228814,0.8991974336088779,64.0,92.1875,68.75,2.342676629070758,43.599666,False,120,0.0,0.2,0.2,0,0.3,61.750549466645,0,30,34
200.0,313.5595131969147,56.77975659845733,437.16763547176214,-380.3878788733048,-15.97923660881918,0.9647223802821463,68.0,92.51470588235294,69.11764705882352,2.444544952775667,34.85328200000001,False,120,0.0,0.2,0.15,0,0.0,53.23538980572128,0,31,37
200.0,313.5595131969147,56.77975659845733,437.16763547176214,-380.3878788733048,-15.97923660881918,0.9647223802821463,68.0,92.51470588235294,69.11764705882352,2.444544952775667,34.85328200000001,False,120,0.0,0.2,0.15,0,0.2,53.23538980572128,0,31,37
200.0,313.5595131969147,56.77975659845733,437.16763547176214,-380.3878788733048,-15.97923660881918,0.9647223802821463,68.0,92.51470588235294,69.11764705882352,2.444544952775667,34.85328200000001,False,120,0.0,0.2,0.15,0,0.3,53.23538980572128,0,31,37
200.0,294.4042487291069,47.20212436455344,376.84321135438984,-329.64108698983637,-12.967318841236041,0.8133180016626995,65.0,120.0,63.07692307692307,2.699114698069881,22.546378,False,120,0.0,0.0,0.1,0,0.0,47.89488982397581,0,0,65
200.0,294.4042487291069,47.20212436455344,376.84321135438984,-329.64108698983637,-12.967318841236041,0.8133180016626995,65.0,120.0,63.07692307692307,2.699114698069881,22.546378,False,120,0.0,0.0,0.1,0,0.2,47.89488982397581,0,0,65
200.0,294.4042487291069,47.20212436455344,376.84321135438984,-329.64108698983637,-12.967318841236041,0.8133180016626995,65.0,120.0,63.07692307692307,2.699114698069881,22.546378,False,120,0.0,0.0,0.1,0,0.3,47.89488982397581,0,0,65
200.0,279.4523033995781,39.72615169978906,437.16763547176214,-397.4414837719731,-11.645333740669827,0.9938001857154151,68.0,92.42647058823529,70.58823529411765,2.520842508136517,23.584834,False,120,0.0,0.2,0.1,0,0.0,40.37712223496928,0,32,36
200.0,279.4523033995781,39.72615169978906,437.16763547176214,-397.4414837719731,-11.645333740669827,0.9938001857154151,68.0,92.42647058823529,70.58823529411765,2.520842508136517,23.584834,False,120,0.0,0.2,0.1,0,0.2,40.37712223496928,0,32,36
200.0,279.4523033995781,39.72615169978906,437.16763547176214,-397.4414837719731,-11.645333740669827,0.9938001857154151,68.0,92.42647058823529,70.58823529411765,2.520842508136517,23.584834,False,120,0.0,0.2,0.1,0,0.3,40.37712223496928,0,32,36
200.0,285.3589247162247,42.67946235811235,436.690582605636,-394.01112024752365,-18.678234526645674,0.6291402725006752,47.0,93.97872340425532,70.2127659574468,1.8974906310597186,34.513385,False,120,0.0,0.2,0.2,40,0.0,35.02257036842669,0,20,27
200.0,285.3589247162247,42.67946235811235,436.690582605636,-394.01112024752365,-18.678234526645674,0.6291402725006752,47.0,93.97872340425532,70.2127659574468,1.8974906310597186,34.513385,False,120,0.0,0.2,0.2,40,0.2,35.02257036842669,0,20,27
200.0,285.3589247162247,42.67946235811235,436.690582605636,-394.01112024752365,-18.678234526645674,0.6291402725006752,47.0,93.97872340425532,70.2127659574468,1.8974906310597186,34.513385,False,120,0.0,0.2,0.2,40,0.3,35.02257036842669,0,20,27
200.0,273.4063507143784,36.70317535718919,437.16763547176214,-400.46446011457294,-14.583075867369965,0.7006846479784994,49.0,93.22448979591837,71.42857142857143,2.029171902956345,27.166394999999998,False,120,0.0,0.2,0.15,40,0.0,33.08340822144344,0,21,28
200.0,273.4063507143784,36.70317535718919,437.16763547176214,-400.46446011457294,-14.583075867369965,0.7006846479784994,49.0,93.22448979591837,71.42857142857143,2.029171902956345,27.166394999999998,False,120,0.0,0.2,0.15,40,0.2,33.08340822144344,0,21,28
200.0,273.4063507143784,36.70317535718919,437.16763547176214,-400.46446011457294,-14.583075867369965,0.7006846479784994,49.0,93.22448979591837,71.42857142857143,2.029171902956345,27.166394999999998,False,120,0.0,0.2,0.15,40,0.3,33.08340822144344,0,21,28
200.0,283.09159565177913,41.545797825889565,376.42567583995987,-334.8798780140703,-22.338905888577898,0.44711574092561623,45.0,120.0,60.0,1.7915279729210782,32.906815,False,120,0.0,0.0,0.2,40,0.0,30.75391752406153,0,0,45
200.0,283.09159565177913,41.545797825889565,376.42567583995987,-334.8798780140703,-22.338905888577898,0.44711574092561623,45.0,120.0,60.0,1.7915279729210782,32.906815,False,120,0.0,0.0,0.2,40,0.3,30.75391752406153,0,0,45
