initial_cash,final_equity,total_return_pct,max_drawdown_pct,sharpe_ratio,trades,avg_holding_days,win_rate_pct,profit_factor,total_fees,holding_days,stop_loss_pct,take_profit_pct,max_position_fraction,cooldown_days,score,stop_loss_exits,take_profit_exits,time_exits
200.0,367.7565456143494,83.87827280717471,-23.254253221724362,0.7186215768644995,61.0,120.0,60.65573770491803,2.528082052904791,41.516388,120,0.0,0.0,0.2,0,75.17217375540538,0,0,61
200.0,334.54180715166467,67.27090357583234,-18.191985234408016,0.774807200711176,65.0,120.0,61.53846153846154,2.609524033441577,33.281086,120,0.0,0.0,0.15,0,63.0604805172342,0,0,65
200.0,338.48991544092564,69.24495772046282,-20.143744132228814,0.8997340176654144,64.0,92.1875,68.75,2.342676629070758,43.599666,120,0.0,0.2,0.2,0,61.750549466645,0,30,34
200.0,313.5595131969147,56.77975659845733,-15.97923660881918,0.9652983440614478,68.0,92.51470588235294,69.11764705882352,2.444544952775667,34.85328200000001,120,0.0,0.2,0.15,0,53.23538980572128,0,31,37
200.0,294.40425082358934,47.20212541179467,-12.967318841236041,0.8138030641395957,65.0,120.0,63.07692307692307,2.6991147357669747,22.546378999999998,120,0.0,0.0,0.1,0,47.894891009702505,0,0,65
200.0,279.4523033995781,39.72615169978906,-11.645333740669827,0.9943936435010432,68.0,92.42647058823529,70.58823529411765,2.520842508136517,23.584834,120,0.0,0.2,0.1,0,40.37712223496928,0,32,36
200.0,285.35891960605625,42.67945980302812,-18.678234526645674,0.6295150547166766,47.0,93.97872340425532,70.2127659574468,1.8974905544786573,34.513385,120,0.0,0.2,0.2,40,35.02256743043714,0,20,27
200.0,273.40634788137055,36.703173940685275,-14.583075867369965,0.701102218099888,49.0,93.22448979591837,71.42857142857143,2.0291718370365244,27.166394,120,0.0,0.2,0.15,40,33.08340652534042,0,21,28
200.0,282.94869385514073,41.47434692757037,-17.92808330233463,0.4405734624498583,50.0,90.0,60.0,1.6647223088226377,35.920977,90,0.0,0.0,0.2,60,33.05584714493259,0,0,50
200.0,271.55255590903477,35.77627795451739,-13.764340368378548,0.49343133301813236,52.0,90.0,61.53846153846154,1.7646079252775813,28.221103,90,0.0,0.0,0.15,60,31.30500715462139,0,0,52
200.0,283.0915905416107,41.54579527080535,-22.338905888577898,0.4473818850446147,45.0,120.0,60.0,1.7915279059829643,32.906815,120,0.0,0.0,0.2,40,30.753914634286748,0,0,45
200.0,270.7400000781097,35.37000003905484,-17.200684439622293,0.504321266343987,47.0,120.0,61.702127659574465,1.898553333518572,25.951746,120,0.0,0.0,0.15,40,29.254666076930977,0,0,47
200.0,284.9053393845215,42.452669692260734,-24.68065711362297,0.44364826551068304,52.0,120.0,59.61538461538461,1.6397165705971282,39.388236,120,0.0,0.0,0.2,20,28.611347910029146,0,0,52
200.0,279.0479452091217,39.52397260456084,-23.667603874569775,0.39997773450033763,39.0,120.0,53.84615384615385,1.7602625119387045,28.666600000000003,120,0.0,0.0,0.2,60,27.97125225832703,0,0,39
200.0,272.10100692166134,36.050503460830676,-19.16497987198329,0.49467148431849023,54.0,120.0,61.111111111111114,1.7243888173057242,30.812437000000003,120,0.0,0.0,0.15,20,27.138090793371827,0,0,54
200.0,252.524875286438,26.262437643219005,-10.499671070716598,0.7313634798368371,50.0,93.64,72.0,2.104803994424785,18.541573,120,0.0,0.2,0.1,40,26.484625662305483,0,22,28
200.0,266.45308405873106,33.226542029365525,-18.410613084114015,0.4485891235719329,42.0,120.0,54.761904761904766,1.8387181596020037,23.034582,120,0.0,0.0,0.15,60,26.20044391429003,0,0,42
200.0,276.6073939654236,38.30369698271181,-23.241402044861626,0.5218134501842105,54.0,96.9074074074074,66.66666666666666,1.6056229992948778,40.889162000000006,120,0.0,0.2,0.2,20,25.236302345539983,0,21,33
200.0,266.8446840041962,33.422342002098105,-18.221452574838025,0.5877323878670875,56.0,96.14285714285714,67.85714285714286,1.7046573422780955,31.947866,120,0.0,0.2,0.15,20,25.002145982360062,0,22,34
200.0,251.7101544692993,25.85507723464966,-12.107576288592325,0.5444541059797646,48.0,120.0,62.5,1.9854094359349204,17.741475,120,0.0,0.0,0.1,40,24.37436844788002,0,0,48
200.0,248.67946890441897,24.339734452209495,-9.850475321151208,0.49429906641161786,53.0,90.0,62.264150943396224,1.780419506565541,19.218754999999998,90,0.0,0.0,0.1,60,23.303037744173796,0,0,53
200.0,260.8080239625931,30.40401198129654,-15.543639028723877,0.4496685634218703,51.0,73.52941176470588,66.66666666666666,1.5135127671310102,36.491625,90,0.0,0.2,0.2,60,22.95926529540868,0,21,30
200.0,248.84712666877363,24.42356333438682,-12.725702154605834,0.49214278711329207,43.0,120.0,55.81395348837209,1.924859924221503,15.796914,120,0.0,0.0,0.1,60,22.423740639539957,0,0,43
200.0,252.61565808999632,26.307829044998154,-13.605157176469895,0.5291406513606659,55.0,120.0,61.81818181818181,1.793012664911317,20.981973999999994,120,0.0,0.0,0.1,20,22.36992578720232,0,0,55
200.0,252.29400635930637,26.147003179653172,-12.123290189363578,0.49637186864805655,53.0,73.0377358490566,67.9245283018868,1.588880804652435,28.622533999999998,90,0.0,0.2,0.15,60,21.977812860892666,0,22,31
200.0,250.56739750888062,25.283698754440298,-11.786755316537201,0.42850151819081544,61.0,90.0,57.377049180327866,1.6729186143222132,21.703703,90,0.0,0.0,0.1,40,21.893040188648463,0,0,61
200.0,248.14924115119936,24.07462057559968,-13.172520170284962,0.614672102034093,57.0,96.45614035087719,68.42105263157895,1.7614435182904034,21.729264999999998,120,0.0,0.2,0.1,20,20.205984789337975,0,23,34
200.0,235.8385950530243,17.919297526512157,-8.694468272945189,0.495820975714568,54.0,73.35185185185185,68.51851851851852,1.605477505607327,19.486379999999997,90,0.0,0.2,0.1,60,16.831514849839895,0,22,32
200.0,248.89741548843764,24.44870774421881,-14.856195830227382,0.38207797700210344,84.0,90.0,54.761904761904766,1.4753566066337398,30.042946,90,0.0,0.0,0.1,0,16.661196604716974,0,0,84
200.0,246.4340578092804,23.21702890464019,-17.321681412568633,0.4624491705376036,44.0,92.97727272727273,61.36363636363637,1.5960061840523907,24.022326,120,0.0,0.2,0.15,60,15.68468246547567,0,19,25
200.0,252.3511207746506,26.175560387325312,-19.318517818729564,0.33535379699606843,71.0,90.0,54.929577464788736,1.410681298141143,38.72015,90,0.0,0.0,0.15,20,14.674071013983854,0,0,71
200.0,249.52640205707556,24.76320102853777,-17.5555567042334,0.41546503199772755,73.0,74.27397260273973,63.013698630136986,1.4093129343061892,39.879825000000004,90,0.0,0.2,0.15,20,14.459106921893667,0,27,46
200.0,257.7556242829514,28.87781214147569,-22.384315844270507,0.37794370856168047,70.0,74.44285714285714,62.857142857142854,1.3593796897407844,50.716255000000004,90,0.0,0.2,0.2,20,14.250660956976729,0,26,44
200.0,234.54308365334703,17.27154182667352,-12.244657312384955,0.4993540574563326,45.0,93.44444444444444,62.22222222222222,1.6651389590627985,16.445908,120,0.0,0.2,0.1,60,14.241448237698798,0,20,25
200.0,251.07297640281678,25.536488201408392,-21.95825537088403,0.39664180480975114,41.0,93.17073170731707,60.97560975609756,1.4996847161111295,29.970914999999998,120,0.0,0.2,0.2,60,13.83767450380102,0,18,23
