initial_cash,final_equity,total_return_pct,max_drawdown_pct,sharpe_ratio,trades,avg_holding_days,win_rate_pct,profit_factor,total_fees,holding_days,stop_loss_pct,take_profit_pct,max_position_fraction,score,stop_loss_exits,take_profit_exits,time_exits
200.0,367.7565456143494,83.87827280717471,-23.254253221724362,0.7186215768644995,61.0,120.0,60.65573770491803,2.528082052904791,41.516388,120,0.0,0.0,0.2,75.17217375540538,0,0,61
200.0,334.54180715166467,67.27090357583234,-18.191985234408016,0.774807200711176,65.0,120.0,61.53846153846154,2.609524033441577,33.281086,120,0.0,0.0,0.15,63.0604805172342,0,0,65
200.0,338.48991544092564,69.24495772046282,-20.143744132228814,0.8997340176654144,64.0,92.1875,68.75,2.342676629070758,43.599666,120,0.0,0.2,0.2,61.750549466645,0,30,34
200.0,313.5595131969147,56.77975659845733,-15.97923660881918,0.9652983440614478,68.0,92.51470588235294,69.11764705882352,2.444544952775667,34.85328200000001,120,0.0,0.2,0.15,53.23538980572128,0,31,37
200.0,294.40425082358934,47.20212541179467,-12.967318841236041,0.8138030641395957,65.0,120.0,63.07692307692307,2.6991147357669747,22.546378999999998,120,0.0,0.0,0.1,47.894891009702505,0,0,65
200.0,279.4523033995781,39.72615169978906,-11.645333740669827,0.9943936435010432,68.0,92.42647058823529,70.58823529411765,2.520842508136517,23.584834,120,0.0,0.2,0.1,40.37712223496928,0,32,36
200.0,270.4902421272812,35.245121063640596,-23.196127348947304,0.5640745586747813,65.0,75.07692307692308,70.76923076923077,1.6863028459273572,43.711544,120,0.0,0.12,0.2,22.143962581566903,0,45,20
200.0,259.2597061961975,29.629853098098756,-18.072168048413406,0.6234182967170505,69.0,75.20289855072464,71.01449275362319,1.7569570388980824,34.90409100000001,120,0.0,0.12,0.15,21.045307706279115,0,47,22
200.0,262.82440724640657,31.412203623203272,-19.292763023120763,0.3057561859087028,62.0,62.403225806451616,37.096774193548384,1.4608849103085289,41.259092,120,0.08,0.0,0.2,20.324101307405346,37,0,25
200.0,257.4204107433548,28.71020537167741,-18.341191582894012,0.3575248667832083,65.0,78.3076923076923,47.69230769230769,1.4982970145120742,32.509951,120,0.12,0.0,0.15,18.870299207067273,31,0,34
200.0,252.76250045907594,26.38125022953797,-15.300620152262923,0.4917773763314292,68.0,58.10294117647059,57.35294117647059,1.5000659663742018,34.245374,120,0.12,0.2,0.15,18.653846247211785,28,26,14
200.0,250.79975753672792,25.39987876836396,-14.831578539770163,0.32618842565338163,66.0,62.63636363636363,37.878787878787875,1.474927405935689,33.037693,120,0.08,0.0,0.15,18.01894724321478,39,0,27
200.0,265.79854234811404,32.89927117405702,-24.787929611134373,0.3107033997208502,61.0,77.50819672131148,45.90163934426229,1.4354557593069242,40.496909,120,0.12,0.0,0.2,17.63075731224086,30,0,31
200.0,243.4555739497948,21.72778697489739,-12.122848617495407,0.4026745394957216,65.0,79.83076923076923,49.23076923076923,1.5703228708560597,22.036945,120,0.12,0.0,0.1,17.43541761605614,30,0,35
200.0,258.2985761176987,29.149288058849354,-20.095673689793447,0.42120199852381196,64.0,57.46875,56.25,1.4220270268012853,42.797833,120,0.12,0.2,0.2,17.127776275510694,27,25,12
200.0,241.7309465526848,20.865473276342406,-12.806005794720765,0.6496731137224674,69.0,75.0,72.46376811594203,1.8021321445597644,23.603322,120,0.0,0.12,0.1,17.021463553100652,0,48,21
200.0,238.9384373977051,19.469218698852544,-9.536315618529478,0.37239845275459643,66.0,64.15151515151516,39.39393939393939,1.5500840003004295,22.387739000000003,120,0.08,0.0,0.1,16.968015036457583,38,0,28
200.0,248.89741548843764,24.44870774421881,-14.856195830227382,0.38207797700210344,84.0,90.0,54.761904761904766,1.4753566066337398,30.042946,90,0.0,0.0,0.1,16.661196604716974,0,0,84
200.0,239.3850950714073,19.692547535703664,-10.463718645144793,0.536929121210176,68.0,59.470588235294116,58.82352941176471,1.5649552560917346,23.184204,120,0.12,0.2,0.1,16.470324632303743,27,27,14
200.0,228.1314126653595,14.065706332679762,-8.497630461802153,0.4193869090296372,68.0,46.14705882352941,47.05882352941176,1.4315723518378862,23.071708,120,0.08,0.2,0.1,11.656759845517577,35,23,10
200.0,241.84955151689914,20.924775758449577,-15.941399710338267,0.3369023031237487,64.0,44.8125,45.3125,1.334511072873956,42.633416,120,0.08,0.2,0.2,11.589610540065657,34,21,9
200.0,236.03345883581545,18.01672941790773,-12.7203140257796,0.36873635940762867,68.0,44.76470588235294,45.588235294117645,1.3656028157043454,34.078051,120,0.08,0.2,0.15,11.560605427094755,36,22,10
200.0,232.78720239748003,16.393601198740004,-12.425205809624352,0.3786868418578864,86.0,74.79069767441861,60.46511627906976,1.330331135600266,30.673885,90,0.0,0.2,0.1,9.612658269523072,0,30,56
200.0,245.91346958048248,22.95673479024125,-22.346137988939752,0.2746242856461698,81.0,90.0,53.086419753086425,1.2975286786550346,43.010276,90,0.0,0.0,0.15,8.104260891811606,0,0,81
200.0,227.89056394618987,13.945281973094925,-12.742925925994452,0.2527600413630509,86.0,52.01162790697674,43.02325581395349,1.2854894264598458,30.624860000000005,90,0.08,0.0,0.1,6.704291660898315,48,0,38
200.0,236.8240700363846,18.412035018192306,-18.393689097696907,0.30503465970403204,83.0,75.10843373493977,59.036144578313255,1.2473046436349098,44.107302999999995,90,0.0,0.2,0.15,6.157926263094174,0,28,55
200.0,224.58753027406692,12.293765137033464,-13.915232620892581,0.22183575347079496,84.0,62.095238095238095,48.80952380952381,1.2294312891963683,29.799865,90,0.12,0.0,0.1,3.9945038673458706,37,0,47
